City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
225,Bonavista,CA,80.6,broken clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
226,Eydhafushi,MV,82.56,overcast clouds,5.1033,73.0708,Soneva Fushi
228,Vanimo,PG,76.03,few clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
232,Senahu,GT,80.46,overcast clouds,15.4,-89.8333,"Casserio Se'soch, Senahuq A.V"
233,Makakilo City,US,80.92,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
243,Akyab,MM,80.29,moderate rain,20.15,92.9,Hotel Memory
246,Katsuura,JP,80.71,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
248,Tura,IN,75.99,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
250,Nishihara,JP,79.88,scattered clouds,26.1842,127.7558,Minshuku Agaihama
252,Namatanai,PG,78.06,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
256,Amapa,BR,76.15,overcast clouds,1.0,-52.0,
261,Galle,LK,79.18,overcast clouds,6.0367,80.217,Amangalla
264,Takoradi,GH,76.57,overcast clouds,4.8845,-1.7554,Raybow International Hotel
266,Acarau,BR,82.47,broken clouds,-2.8856,-40.12,castelo pizzaria
267,San Cristobal,VE,84.38,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
268,Barbastro,ES,83.07,clear sky,42.0356,0.1269,Gran Hotel Ciudad De Barbastro
269,Luwuk,ID,77.09,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
274,Sussex,US,82.81,broken clouds,41.1834,-74.6663,Top O Hill Farm - McDougals
278,Dawei,MM,76.78,overcast clouds,14.0833,98.2,Hotel Dawei
280,Bay Roberts,CA,79.66,scattered clouds,47.5999,-53.2648,Stonewall Inn
282,Chapais,CA,80.38,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
283,Paka,MY,76.93,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
284,Soritor,PE,82.76,clear sky,-6.1392,-77.1039,Casa Hospedaje El Porton
285,Victoria,HK,84.16,moderate rain,22.2855,114.1577,Mini Hotel Central
286,Hasaki,JP,77.4,scattered clouds,35.7333,140.8333,Hotel Sunrise Choshi
288,Caramay,PH,79.74,overcast clouds,10.1815,119.236,Peace and Love Beach Club
289,Kula,TR,78.67,clear sky,38.5473,28.6498,Anemon Kula Hotel
290,Pacific Grove,US,83.16,broken clouds,36.6177,-121.9166,Lovers Point Inn
298,Akdepe,TM,82.4,clear sky,42.0551,59.3788,Мой дом
300,Dingle,PH,76.89,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
308,Lompoc,US,80.85,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
309,Korla,CN,81.72,overcast clouds,41.7597,86.1469,Gulisitan Hotel
312,Manokwari,ID,78.51,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
316,Marsa Matruh,EG,82.78,clear sky,31.3525,27.2453,Beau Site
317,Mastic Beach,US,79.57,overcast clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
319,Galesong,ID,75.22,broken clouds,-5.3166,119.3661,Sapriadi Appy
320,Singapore,SG,82.35,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
321,Santa Rosa,PH,82.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
326,Mahibadhoo,MV,81.82,overcast clouds,3.7833,72.9667,Omadhoo Inn
328,Ishigaki,JP,82.94,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
333,Kuching,MY,79.02,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
334,Santa Pola,ES,82.69,clear sky,38.1917,-0.5658,Patilla
336,Kalmunai,LK,80.33,overcast clouds,7.4167,81.8167,VS Villa
340,Kavaratti,IN,82.2,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
341,Itarema,BR,81.88,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
349,Adlay,PH,79.0,overcast clouds,9.4097,125.8975,
350,Kodinar,IN,81.27,overcast clouds,20.7903,70.7031,residency of N.B vadhel
352,Damietta,EG,84.06,clear sky,31.4165,31.8133,SULIMAN INN
355,Vaijapur,IN,76.03,overcast clouds,19.9167,74.7333,HOTEL MATOSHRI
357,Shiozawa,JP,75.87,scattered clouds,37.0333,138.85,旬彩の庄 坂戸城
358,Bekhtery,UA,77.45,few clouds,46.251,32.2927,
359,Ambon,ID,75.34,thunderstorm with light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
361,Vila Do Maio,CV,81.39,overcast clouds,15.1333,-23.2167,Hotel Marilu
370,Kismayo,SO,76.15,broken clouds,-0.3582,42.5454,Agan-Hotel
374,Hobyo,SO,76.42,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
375,Kyabe,TD,76.71,broken clouds,9.4515,18.9449,
376,Seoul,KR,78.4,scattered clouds,37.5683,126.9778,롯데호텔 서울
378,Zhanakorgan,KZ,82.78,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
381,La Rioja,ES,77.04,clear sky,42.25,-2.5,Casa Concejos
382,Vung Tau,VN,80.55,broken clouds,10.346,107.0843,Green hotel
389,Bontang,ID,77.29,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
390,Rosetta,EG,81.64,clear sky,31.4044,30.4164,Green Valley
395,Liuzhou,CN,81.12,light rain,24.3126,109.3892,Linjiang Inn
398,Montrose,US,79.36,clear sky,38.4166,-108.2673,
401,Shingu,JP,78.91,overcast clouds,33.7333,135.9833,Shingu UI Hotel
403,Matadi,CD,75.96,clear sky,-5.8167,13.45,Hotel Vivi Palace
404,Flin Flon,CA,75.58,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
406,Bethel,US,81.45,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
409,Bari,IT,83.84,clear sky,41.1177,16.8512,Mercure Villa Romanazzi Carducci Bari
410,Thinadhoo,MV,80.38,heavy intensity rain,0.5333,72.9333,
414,Mabaruma,GY,84.6,few clouds,8.2,-59.7833,Monty Brooms Guest House
418,Ugoofaaru,MV,82.17,overcast clouds,5.6667,73.0,Ungoofaaru Inn
420,Nichinan,JP,78.08,overcast clouds,31.6,131.3667,Guest House Aki
429,Netrakona,BD,82.08,overcast clouds,24.8833,90.7167,kurpar gas office
431,Lubao,PH,82.15,light rain,14.9167,120.55,Hacienda Gracia
433,Bend,US,84.99,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
436,Port Blair,IN,81.86,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
439,Kavieng,PG,82.04,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
452,Guilin,CN,77.11,broken clouds,25.2819,110.2864,Grand 0773 Hotel
453,Fukue,JP,81.93,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
455,Istok,XK,81.52,overcast clouds,42.7808,20.4875,Hotel TROFTA
457,Hargeysa,SO,75.99,broken clouds,9.56,44.065,City Center Hotel
458,Fare,PF,78.57,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
472,Nanzhang,CN,76.39,broken clouds,31.7765,111.8386,Longmenkezhan
474,Naze,JP,77.56,overcast clouds,28.3667,129.4833,Amami Port Tower Hotel
475,Ranong,TH,79.12,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
476,Tucuma,BR,78.49,broken clouds,-0.1833,-50.05,
477,Jasper,US,82.45,haze,37.2001,-94.3502,Guest House Motel
486,Manuk Mangkaw,PH,84.4,overcast clouds,4.8,119.85,
488,Ca Mau,VN,77.97,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
491,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
492,Biltine,TD,82.38,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
493,Tutoia,BR,84.18,broken clouds,-2.7619,-42.2744,Pousada Guará's
494,Oistins,BB,84.29,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
497,Floresti,MD,75.24,broken clouds,47.8933,28.3014,Ion Iachir
509,Papar,MY,78.8,scattered clouds,5.7333,115.9333,Koposizon Homestay
510,Latung,PH,81.73,broken clouds,5.5,120.8833,
512,Parnamirim,BR,79.14,broken clouds,-5.9156,-35.2628,Pousada Joaci
515,Mackenzie,CA,75.42,few clouds,55.2999,-123.1698,Hilton Shop
